Longitude,Latitude,PGA (g) - %2,PGA (g) - %10,PGA (g) - %50,PGA (g) - %68,SS (g) - %2,SS (g) - %10,SS (g) - %50,SS (g) - %68,S1 (g) - %2,S1 (g) - %10,S1 (g) - %50,S1 (g) - %68
25.15,39.15,0.718,0.36,0.128,0.091,1.742,0.85,0.298,0.213,0.434,0.21,0.08,0.059
25.15,39.25,0.671,0.336,0.122,0.087,1.636,0.8,0.285,0.205,0.411,0.205,0.08,0.059
25.15,39.35,0.594,0.305,0.116,0.084,1.462,0.727,0.27,0.196,0.378,0.196,0.08,0.059
25.15,39.45,0.56,0.292,0.113,0.082,1.374,0.696,0.263,0.191,0.364,0.194,0.08,0.059
25.15,39.55,0.649,0.312,0.113,0.082,1.579,0.741,0.263,0.191,0.417,0.207,0.082,0.06
25.15,39.65,0.646,0.318,0.117,0.085,1.578,0.756,0.271,0.197,0.421,0.214,0.084,0.061
25.15,39.75,0.66,0.338,0.124,0.09,1.625,0.804,0.29,0.209,0.435,0.226,0.088,0.064
25.15,39.85,0.848,0.401,0.138,0.1,2.043,0.935,0.318,0.228,0.554,0.261,0.095,0.067
25.15,39.95,0.7,0.391,0.162,0.118,1.724,0.928,0.375,0.274,0.472,0.257,0.103,0.074
25.15,40.05,0.731,0.432,0.192,0.141,1.817,1.042,0.441,0.32,0.52,0.287,0.113,0.079
25.15,40.15,1.01,0.584,0.23,0.16,2.542,1.411,0.535,0.369,0.708,0.375,0.128,0.084
25.15,40.25,1.069,0.613,0.251,0.167,2.692,1.479,0.583,0.388,0.751,0.391,0.137,0.086
25.15,40.35,0.912,0.532,0.221,0.155,2.308,1.292,0.516,0.357,0.626,0.335,0.121,0.081
25.15,40.45,0.869,0.475,0.19,0.13,2.186,1.158,0.442,0.303,0.571,0.295,0.109,0.074
25.15,40.55,0.821,0.427,0.155,0.103,2.062,1.04,0.363,0.234,0.534,0.267,0.097,0.065
25.15,40.65,0.766,0.387,0.131,0.083,1.906,0.935,0.307,0.192,0.492,0.242,0.087,0.059
25.15,40.75,0.691,0.342,0.113,0.072,1.721,0.828,0.263,0.163,0.445,0.219,0.08,0.055
25.15,40.85,0.614,0.299,0.098,0.063,1.528,0.718,0.227,0.145,0.399,0.198,0.074,0.051
25.15,40.95,0.547,0.261,0.086,0.057,1.348,0.625,0.202,0.129,0.359,0.18,0.068,0.048
25.15,41.05,0.524,0.236,0.078,0.053,1.282,0.563,0.177,0.118,0.344,0.168,0.064,0.045
25.15,41.15,0.467,0.211,0.071,0.049,1.145,0.499,0.162,0.112,0.316,0.157,0.06,0.043
25.15,41.25,0.426,0.196,0.068,0.048,1.035,0.461,0.155,0.109,0.287,0.147,0.058,0.042
25.25,37.85,0.492,0.242,0.088,0.063,1.159,0.554,0.198,0.144,0.288,0.146,0.059,0.044
25.25,37.95,0.559,0.277,0.097,0.069,1.321,0.635,0.22,0.156,0.308,0.154,0.062,0.047
25.25,38.05,0.578,0.294,0.106,0.076,1.384,0.682,0.24,0.17,0.317,0.16,0.065,0.049
25.25,38.15,0.573,0.298,0.112,0.081,1.388,0.7,0.258,0.185,0.321,0.163,0.067,0.051
25.25,38.25,0.558,0.296,0.117,0.085,1.367,0.704,0.274,0.2,0.325,0.167,0.069,0.053
25.25,38.35,0.571,0.305,0.123,0.09,1.405,0.73,0.289,0.211,0.335,0.172,0.072,0.054
25.25,38.45,0.598,0.319,0.129,0.095,1.479,0.769,0.301,0.22,0.354,0.181,0.075,0.056
25.25,38.55,0.641,0.34,0.135,0.099,1.585,0.817,0.314,0.229,0.38,0.192,0.077,0.057
25.25,38.65,0.714,0.364,0.14,0.103,1.739,0.869,0.325,0.236,0.423,0.204,0.079,0.059
25.25,38.75,0.696,0.361,0.142,0.104,1.705,0.863,0.328,0.239,0.42,0.204,0.08,0.059
25.25,38.85,0.653,0.349,0.141,0.104,1.607,0.835,0.326,0.238,0.391,0.198,0.08,0.06
25.25,38.95,0.627,0.337,0.138,0.102,1.546,0.809,0.319,0.233,0.377,0.195,0.08,0.06
25.25,39.05,0.651,0.343,0.134,0.098,1.597,0.819,0.312,0.226,0.392,0.2,0.081,0.06
25.25,39.15,0.725,0.363,0.132,0.095,1.757,0.858,0.306,0.22,0.443,0.212,0.082,0.06
25.25,39.25,0.69,0.349,0.127,0.091,1.684,0.829,0.297,0.213,0.424,0.209,0.082,0.06
25.25,39.35,0.62,0.316,0.12,0.087,1.52,0.754,0.282,0.205,0.388,0.2,0.081,0.06
25.25,39.45,0.552,0.289,0.115,0.084,1.349,0.688,0.267,0.196,0.358,0.192,0.081,0.06
25.25,39.55,0.564,0.29,0.113,0.083,1.377,0.689,0.263,0.193,0.368,0.196,0.082,0.06
25.25,39.65,0.654,0.309,0.115,0.084,1.584,0.733,0.267,0.196,0.428,0.21,0.084,0.061
25.25,39.75,0.598,0.313,0.121,0.088,1.477,0.747,0.284,0.207,0.402,0.214,0.087,0.063
25.25,39.85,0.718,0.364,0.135,0.098,1.753,0.862,0.312,0.225,0.468,0.241,0.093,0.067
25.25,39.95,0.829,0.42,0.159,0.115,2.008,0.992,0.368,0.267,0.544,0.273,0.103,0.074
25.25,40.05,0.769,0.444,0.193,0.141,1.907,1.076,0.444,0.321,0.532,0.292,0.114,0.08
25.25,40.15,1,0.588,0.237,0.165,2.527,1.428,0.557,0.384,0.702,0.378,0.131,0.087
25.25,40.25,1.144,0.664,0.28,0.179,2.878,1.606,0.637,0.413,0.827,0.432,0.149,0.091
25.25,40.35,0.93,0.558,0.234,0.164,2.38,1.359,0.555,0.385,0.662,0.36,0.129,0.085
25.25,40.45,0.879,0.491,0.206,0.145,2.212,1.196,0.473,0.329,0.582,0.306,0.114,0.078
25.25,40.55,0.837,0.441,0.165,0.111,2.108,1.078,0.392,0.257,0.546,0.276,0.102,0.068
25.25,40.65,0.787,0.402,0.139,0.088,1.964,0.97,0.323,0.206,0.506,0.25,0.09,0.061
25.25,40.75,0.716,0.357,0.118,0.075,1.782,0.862,0.278,0.17,0.46,0.226,0.082,0.056
25.25,40.85,0.638,0.312,0.103,0.065,1.587,0.753,0.237,0.149,0.413,0.204,0.076,0.052
25.25,40.95,0.567,0.273,0.089,0.058,1.4,0.652,0.208,0.133,0.37,0.185,0.07,0.048
25.25,41.05,0.535,0.244,0.08,0.054,1.313,0.583,0.183,0.121,0.35,0.172,0.065,0.046
25.25,41.15,0.485,0.218,0.073,0.05,1.186,0.516,0.166,0.113,0.326,0.16,0.061,0.043
25.25,41.25,0.429,0.198,0.069,0.048,1.047,0.467,0.157,0.11,0.291,0.149,0.059,0.042
25.25,41.35,0.42,0.192,0.067,0.047,1.021,0.453,0.153,0.108,0.278,0.142,0.057,0.041
25.25,41.45,0.424,0.193,0.066,0.047,1.033,0.455,0.152,0.107,0.273,0.138,0.055,0.04
25.25,41.55,0.432,0.197,0.066,0.047,1.055,0.465,0.152,0.107,0.274,0.136,0.054,0.039
25.25,41.65,0.445,0.204,0.067,0.047,1.09,0.48,0.155,0.108,0.277,0.136,0.053,0.038
25.25,41.75,0.459,0.211,0.069,0.047,1.126,0.499,0.158,0.109,0.283,0.136,0.052,0.038
25.25,41.85,0.474,0.219,0.071,0.048,1.163,0.518,0.162,0.11,0.289,0.136,0.051,0.037
25.25,41.95,0.486,0.224,0.072,0.048,1.194,0.533,0.164,0.111,0.294,0.136,0.049,0.035
25.25,42.05,0.487,0.225,0.072,0.048,1.197,0.535,0.164,0.11,0.292,0.133,0.047,0.033
25.35,37.75,0.437,0.214,0.082,0.061,1.013,0.483,0.183,0.136,0.277,0.141,0.058,0.043
25.35,37.85,0.478,0.234,0.087,0.064,1.132,0.538,0.198,0.145,0.296,0.148,0.06,0.044
25.35,37.95,0.562,0.277,0.099,0.071,1.337,0.638,0.222,0.159,0.327,0.159,0.063,0.047
25.35,38.05,0.613,0.308,0.109,0.078,1.478,0.717,0.248,0.175,0.347,0.168,0.067,0.05
25.35,38.15,0.617,0.314,0.116,0.083,1.498,0.739,0.268,0.192,0.352,0.172,0.069,0.053
25.35,38.25,0.627,0.325,0.124,0.089,1.529,0.772,0.289,0.208,0.353,0.177,0.072,0.054
25.35,38.35,0.615,0.325,0.128,0.094,1.515,0.779,0.3,0.218,0.356,0.181,0.074,0.055
25.35,38.45,0.637,0.335,0.132,0.097,1.574,0.806,0.309,0.226,0.378,0.19,0.077,0.057
25.35,38.55,0.713,0.365,0.14,0.103,1.741,0.873,0.325,0.236,0.425,0.206,0.079,0.059
25.35,38.65,0.723,0.375,0.144,0.105,1.77,0.895,0.334,0.242,0.437,0.211,0.081,0.06
25.35,38.75,0.656,0.353,0.144,0.106,1.627,0.852,0.334,0.244,0.397,0.202,0.081,0.06
25.35,38.85,0.64,0.345,0.143,0.105,1.587,0.831,0.331,0.243,0.388,0.198,0.081,0.061
25.35,38.95,0.64,0.344,0.142,0.105,1.58,0.827,0.328,0.241,0.384,0.198,0.082,0.061
25.35,39.05,0.631,0.34,0.139,0.102,1.558,0.816,0.321,0.235,0.383,0.199,0.082,0.061
25.35,39.15,0.677,0.353,0.136,0.099,1.657,0.84,0.315,0.228,0.41,0.208,0.083,0.061
25.35,39.25,0.712,0.36,0.133,0.096,1.731,0.854,0.309,0.222,0.441,0.214,0.083,0.061
25.35,39.35,0.629,0.327,0.126,0.091,1.549,0.784,0.295,0.214,0.397,0.204,0.083,0.061
25.35,39.45,0.561,0.295,0.118,0.086,1.371,0.704,0.278,0.204,0.36,0.193,0.082,0.06
25.35,39.55,0.536,0.282,0.114,0.084,1.312,0.671,0.265,0.197,0.353,0.191,0.082,0.06
25.35,39.65,0.568,0.289,0.114,0.084,1.384,0.686,0.265,0.196,0.374,0.198,0.083,0.061
25.35,39.75,0.586,0.297,0.119,0.087,1.431,0.707,0.277,0.205,0.394,0.207,0.086,0.063
25.35,39.85,0.58,0.315,0.13,0.096,1.432,0.755,0.302,0.22,0.401,0.219,0.091,0.066
25.35,39.95,0.741,0.383,0.152,0.11,1.804,0.909,0.349,0.253,0.499,0.257,0.1,0.072
25.35,40.05,0.802,0.45,0.189,0.137,1.982,1.088,0.437,0.314,0.546,0.294,0.113,0.079
25.35,40.15,0.997,0.586,0.238,0.166,2.514,1.422,0.56,0.388,0.701,0.378,0.133,0.088
25.35,40.25,1.193,0.696,0.297,0.187,3.003,1.697,0.679,0.43,0.856,0.455,0.158,0.094
25.35,40.35,1.017,0.609,0.252,0.174,2.601,1.506,0.589,0.406,0.726,0.399,0.138,0.089
25.35,40.45,0.873,0.499,0.214,0.152,2.202,1.219,0.498,0.351,0.589,0.315,0.119,0.081
25.35,40.55,0.851,0.457,0.178,0.121,2.143,1.115,0.419,0.287,0.556,0.284,0.106,0.072
25.35,40.65,0.805,0.414,0.147,0.094,2.014,1.002,0.339,0.217,0.519,0.257,0.093,0.062
25.35,40.75,0.738,0.37,0.122,0.078,1.838,0.894,0.289,0.177,0.474,0.233,0.084,0.057
25.35,40.85,0.66,0.325,0.106,0.067,1.644,0.787,0.246,0.153,0.427,0.21,0.077,0.053
25.35,40.95,0.586,0.284,0.092,0.059,1.452,0.679,0.215,0.136,0.381,0.19,0.072,0.049
25.35,41.05,0.537,0.25,0.082,0.055,1.322,0.599,0.189,0.123,0.352,0.174,0.066,0.046
25.35,41.15,0.505,0.224,0.075,0.051,1.231,0.531,0.169,0.115,0.336,0.163,0.062,0.044
25.35,41.25,0.431,0.199,0.069,0.049,1.055,0.47,0.158,0.11,0.295,0.15,0.059,0.042
25.35,41.35,0.418,0.192,0.067,0.047,1.017,0.452,0.154,0.108,0.279,0.143,0.057,0.041
25.35,41.45,0.423,0.193,0.066,0.047,1.03,0.454,0.152,0.107,0.273,0.139,0.056,0.04
25.35,41.55,0.429,0.196,0.066,0.047,1.047,0.461,0.152,0.107,0.272,0.136,0.054,0.039
25.35,41.65,0.44,0.201,0.067,0.047,1.078,0.474,0.153,0.107,0.275,0.135,0.053,0.039
25.35,41.75,0.454,0.208,0.068,0.047,1.113,0.491,0.156,0.108,0.28,0.135,0.052,0.038
25.35,41.85,0.467,0.215,0.069,0.047,1.148,0.509,0.159,0.109,0.286,0.135,0.051,0.037
25.35,41.95,0.475,0.219,0.07,0.047,1.167,0.519,0.161,0.109,0.288,0.134,0.049,0.035
25.35,42.05,0.476,0.22,0.07,0.047,1.17,0.521,0.16,0.108,0.287,0.132,0.047,0.033
25.35,42.15,0.471,0.216,0.068,0.046,1.156,0.511,0.157,0.106,0.28,0.125,0.043,0.03
25.45,37.65,0.44,0.218,0.084,0.062,1.013,0.488,0.185,0.138,0.278,0.143,0.058,0.043
25.45,37.75,0.437,0.216,0.083,0.062,1.016,0.488,0.186,0.138,0.282,0.144,0.059,0.044
25.45,37.85,0.462,0.228,0.087,0.064,1.098,0.525,0.198,0.147,0.297,0.149,0.06,0.045
25.45,37.95,0.551,0.271,0.099,0.072,1.315,0.628,0.223,0.16,0.332,0.161,0.064,0.048
25.45,38.05,0.629,0.316,0.112,0.079,1.521,0.737,0.255,0.18,0.364,0.174,0.068,0.052
25.45,38.15,0.651,0.332,0.12,0.086,1.581,0.782,0.28,0.2,0.378,0.181,0.072,0.054
25.45,38.25,0.662,0.342,0.129,0.092,1.612,0.81,0.299,0.215,0.384,0.186,0.074,0.056
25.45,38.35,0.659,0.345,0.134,0.097,1.62,0.822,0.31,0.225,0.39,0.192,0.076,0.057
25.45,38.45,0.696,0.359,0.138,0.101,1.708,0.857,0.32,0.232,0.421,0.204,0.079,0.058
25.45,38.55,0.713,0.374,0.144,0.105,1.752,0.894,0.333,0.241,0.428,0.211,0.081,0.06
25.45,38.65,0.73,0.384,0.148,0.107,1.797,0.917,0.343,0.248,0.442,0.216,0.083,0.061
25.45,38.75,0.661,0.359,0.147,0.107,1.646,0.866,0.341,0.249,0.403,0.206,0.083,0.061
25.45,38.85,0.644,0.348,0.146,0.107,1.603,0.842,0.337,0.248,0.392,0.201,0.082,0.061
25.45,38.95,0.639,0.345,0.145,0.106,1.586,0.832,0.334,0.246,0.39,0.2,0.083,0.062
25.45,39.05,0.647,0.348,0.144,0.106,1.596,0.837,0.333,0.244,0.392,0.203,0.084,0.062
25.45,39.15,0.649,0.35,0.142,0.104,1.603,0.84,0.328,0.238,0.401,0.208,0.085,0.063
25.45,39.25,0.689,0.364,0.141,0.102,1.694,0.869,0.325,0.233,0.428,0.217,0.086,0.063
25.45,39.35,0.655,0.346,0.135,0.098,1.615,0.829,0.313,0.226,0.414,0.212,0.085,0.063
25.45,39.45,0.574,0.306,0.124,0.091,1.411,0.734,0.292,0.213,0.37,0.198,0.083,0.062
25.45,39.55,0.544,0.287,0.117,0.086,1.331,0.683,0.274,0.204,0.355,0.192,0.082,0.061
25.45,39.65,0.531,0.278,0.114,0.084,1.299,0.663,0.266,0.198,0.354,0.193,0.083,0.061
25.45,39.75,0.534,0.281,0.117,0.086,1.308,0.668,0.272,0.204,0.364,0.199,0.085,0.063
25.45,39.85,0.532,0.293,0.125,0.093,1.31,0.699,0.293,0.216,0.374,0.209,0.089,0.065
25.45,39.95,0.601,0.334,0.145,0.106,1.491,0.805,0.331,0.242,0.426,0.234,0.097,0.071
25.45,40.05,0.753,0.421,0.178,0.129,1.857,1.011,0.415,0.3,0.525,0.282,0.11,0.078
25.45,40.15,0.962,0.565,0.232,0.163,2.416,1.363,0.544,0.379,0.665,0.362,0.131,0.087
25.45,40.25,1.207,0.708,0.302,0.191,3.048,1.724,0.692,0.437,0.844,0.457,0.16,0.096
25.45,40.35,1.167,0.695,0.276,0.183,2.99,1.705,0.634,0.423,0.827,0.45,0.149,0.092
25.45,40.45,0.855,0.503,0.222,0.158,2.182,1.236,0.52,0.369,0.603,0.328,0.124,0.083
25.45,40.55,0.865,0.471,0.19,0.132,2.178,1.149,0.442,0.305,0.567,0.293,0.109,0.075
25.45,40.65,0.819,0.424,0.152,0.099,2.055,1.03,0.354,0.228,0.531,0.264,0.096,0.064
25.45,40.75,0.758,0.382,0.127,0.08,1.887,0.922,0.298,0.184,0.487,0.239,0.086,0.058
25.45,40.85,0.687,0.339,0.109,0.069,1.711,0.82,0.254,0.157,0.443,0.217,0.079,0.054
25.45,40.95,0.61,0.296,0.095,0.061,1.52,0.71,0.22,0.139,0.396,0.195,0.073,0.05
25.45,41.05,0.544,0.257,0.083,0.055,1.34,0.614,0.194,0.125,0.356,0.177,0.067,0.047
25.45,41.15,0.51,0.227,0.076,0.052,1.245,0.541,0.172,0.116,0.339,0.164,0.063,0.044
25.45,41.25,0.435,0.201,0.07,0.049,1.066,0.474,0.159,0.111,0.298,0.151,0.06,0.043
25.45,41.35,0.418,0.192,0.067,0.048,1.017,0.452,0.154,0.109,0.28,0.144,0.057,0.041
25.45,41.45,0.422,0.192,0.066,0.047,1.028,0.452,0.152,0.107,0.274,0.139,0.056,0.04
25.45,41.55,0.426,0.194,0.066,0.046,1.04,0.456,0.151,0.106,0.271,0.136,0.055,0.04
25.45,41.65,0.436,0.199,0.066,0.046,1.065,0.468,0.152,0.106,0.273,0.135,0.053,0.039
25.45,41.75,0.448,0.206,0.067,0.046,1.101,0.484,0.154,0.107,0.278,0.134,0.052,0.038
25.45,41.85,0.468,0.213,0.068,0.046,1.149,0.503,0.156,0.107,0.288,0.135,0.05,0.036
25.45,41.95,0.473,0.216,0.068,0.046,1.162,0.511,0.157,0.107,0.288,0.133,0.049,0.035
25.45,42.05,0.467,0.214,0.068,0.046,1.147,0.507,0.156,0.106,0.282,0.13,0.047,0.033
25.45,42.15,0.46,0.21,0.066,0.045,1.129,0.497,0.153,0.104,0.274,0.125,0.044,0.031
25.45,42.25,0.44,0.2,0.063,0.042,1.08,0.472,0.146,0.098,0.259,0.118,0.04,0.028
25.45,42.35,0.403,0.183,0.058,0.04,0.987,0.434,0.134,0.09,0.243,0.111,0.038,0.027
25.55,37.65,0.446,0.223,0.086,0.063,1.036,0.503,0.19,0.142,0.286,0.147,0.059,0.044
25.55,37.75,0.441,0.22,0.085,0.063,1.032,0.5,0.19,0.142,0.288,0.148,0.06,0.045
25.55,37.85,0.464,0.23,0.088,0.065,1.105,0.532,0.201,0.148,0.302,0.152,0.062,0.046
25.55,37.95,0.541,0.267,0.099,0.072,1.294,0.62,0.224,0.162,0.335,0.163,0.065,0.049
25.55,38.05,0.62,0.312,0.113,0.081,1.502,0.729,0.257,0.183,0.37,0.177,0.069,0.052
